"No.","Time","Source","Destination","Protocol","Length","Info"
"33","2.328637","fe80::a443:3f1:1d32:5717","ff02::fb","MDNS","158","Standard query 0x0000 PTR 7.1.7.5.2.3.d.1.1.f.3.0.3.4.4.a.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa.local, ""QM"" question"
"34","3.338389","172.17.192.1","224.0.0.251","MDNS","138","Standard query 0x0000 PTR 7.1.7.5.2.3.d.1.1.f.3.0.3.4.4.a.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa.local, ""QM"" question"
"35","3.338853","fe80::a443:3f1:1d32:5717","ff02::fb","MDNS","158","Standard query 0x0000 PTR 7.1.7.5.2.3.d.1.1.f.3.0.3.4.4.a.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa.local, ""QM"" question"
"36","3.339036","172.17.192.1","172.17.194.238","DNS","227","Standard query response 0x7468 PTR 7.1.7.5.2.3.d.1.1.f.3.0.3.4.4.a.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa PTR \350\260\242\345\216\232\351\276\231"
"37","3.339238","172.17.194.238","172.17.192.1","DNS","87","Standard query 0x0a75 PTR 238.194.17.172.in-addr.arpa"
"38","3.340247","172.17.192.1","224.0.0.251","MDNS","93","Standard query 0x0000 PTR 238.194.17.172.in-addr.arpa.local, ""QM"" question"
"39","3.340632","fe80::a443:3f1:1d32:5717","ff02::fb","MDNS","113","Standard query 0x0000 PTR 238.194.17.172.in-addr.arpa.local, ""QM"" question"
"40","3.352459","172.17.192.1","224.0.0.251","MDNS","93","Standard query 0x0000 PTR 238.194.17.172.in-addr.arpa.local, ""QM"" question"
"41","3.352877","fe80::a443:3f1:1d32:5717","ff02::fb","MDNS","113","Standard query 0x0000 PTR 238.194.17.172.in-addr.arpa.local, ""QM"" question"
"42","4.062504","172.17.194.238","172.17.192.1","DNS","73","Standard query 0xc8af A www.baidu.com"
"43","4.062509","172.17.194.238","172.17.192.1","DNS","73","Standard query 0xc1ae AAAA www.baidu.com"
"44","4.063252","172.17.192.1","172.17.194.238","DNS","164","Standard query response 0xc8af A www.baidu.com CNAME www.a.shifen.com A 182.61.200.7 A 182.61.200.6"
"45","4.087266","172.17.192.1","172.17.194.238","DNS","116","Standard query response 0xc1ae AAAA www.baidu.com CNAME www.a.shifen.com"
"46","4.087459","172.17.194.238","182.61.200.7","ICMP","98","Echo (ping) request  id=0x82f3, seq=1/256, ttl=64 (reply in 47)"
