"No.","Time","Source","Destination","Protocol","Length","Info"
"4","0.000779","127.0.0.1","127.0.0.1","FTP","86","Response: 220 (vsFTPd 3.0.5)"
"6","4.751097","127.0.0.1","127.0.0.1","FTP","79","Request: USER dragon"
"8","4.751152","127.0.0.1","127.0.0.1","FTP","100","Response: 331 Please specify the password."
"10","8.886964","127.0.0.1","127.0.0.1","FTP","81","Request: PASS 08183080"
"11","8.909396","127.0.0.1","127.0.0.1","FTP","89","Response: 230 Login successful."
"13","8.909456","127.0.0.1","127.0.0.1","FTP","72","Request: SYST"
"14","8.909493","127.0.0.1","127.0.0.1","FTP","85","Response: 215 UNIX Type: L8"
"15","8.909528","127.0.0.1","127.0.0.1","FTP","72","Request: FEAT"
"16","8.909546","127.0.0.1","127.0.0.1","FTP","81","Response: 211-Features:"
"17","8.909557","127.0.0.1","127.0.0.1","FTP","73","Response:  EPRT"
"19","8.909578","127.0.0.1","127.0.0.1","FTP","73","Response:  EPSV"
"20","8.909590","127.0.0.1","127.0.0.1","FTP","73","Response:  MDTM"
"21","8.909591","127.0.0.1","127.0.0.1","FTP","73","Response:  PASV"
"22","8.909593","127.0.0.1","127.0.0.1","FTP","80","Response:  REST STREAM"
"24","8.909596","127.0.0.1","127.0.0.1","FTP","73","Response:  SIZE"
"26","8.909597","127.0.0.1","127.0.0.1","FTP","73","Response:  TVFS"
"27","8.909600","127.0.0.1","127.0.0.1","FTP","75","Response: 211 End"
"29","52.086190","127.0.0.1","127.0.0.1","FTP","78","Request: MKD dragon"
"30","52.087084","127.0.0.1","127.0.0.1","FTP","101","Response: 257 ""/home/dragon/dragon"" created"
"32","58.503083","127.0.0.1","127.0.0.1","FTP","72","Request: EPSV"
"33","58.503378","127.0.0.1","127.0.0.1","FTP","114","Response: 229 Entering Extended Passive Mode (|||50000|)"
"35","58.503557","127.0.0.1","127.0.0.1","FTP","72","Request: LIST"
"36","58.503814","127.0.0.1","127.0.0.1","FTP","105","Response: 150 Here comes the directory listing."
"37","58.504120","127.0.0.1","127.0.0.1","FTP","90","Response: 226 Directory send OK."
"39","92.239188","127.0.0.1","127.0.0.1","FTP","74","Request: TYPE I"
"40","92.239302","127.0.0.1","127.0.0.1","FTP","97","Response: 200 Switching to Binary mode."
"42","267.686468","127.0.0.1","127.0.0.1","FTP","74","Request: TYPE A"
"43","267.686635","127.0.0.1","127.0.0.1","FTP","96","Response: 200 Switching to ASCII mode."
"45","267.686707","127.0.0.1","127.0.0.1","FTP","72","Request: EPSV"
"46","267.686911","127.0.0.1","127.0.0.1","FTP","114","Response: 229 Entering Extended Passive Mode (|||50000|)"
"47","267.687027","127.0.0.1","127.0.0.1","FTP","72","Request: LIST"
"48","267.687309","127.0.0.1","127.0.0.1","FTP","105","Response: 150 Here comes the directory listing."
"49","267.687563","127.0.0.1","127.0.0.1","FTP","90","Response: 226 Directory send OK."
"51","275.830655","127.0.0.1","127.0.0.1","FTP","72","Request: QUIT"
"52","275.830773","127.0.0.1","127.0.0.1","FTP","80","Response: 221 Goodbye."
